"Add Template","Add Template"
"Save and Continue Edit","Save and Continue Edit"
"Edit Meta `%1`","Edit Meta `%1`"
"Add New Meta","Add New Meta"
"Sub Categories","Sub Categories"
"Main Category","Main Category"
"Category is","Category is"
"Apply For","Apply For"
"Current Products","Current Products"
"Products In Sub Categories","Products In Sub Categories"
"Template Configuration","Template Configuration"
"Products in Main Category","Products in Main Category"
"Products in Sub Categories","Products in Sub Categories"
Root,Root
ID,ID
Category,Category
Store,Store
Delete,Delete
"Are you sure?","Are you sure?"
"Edit Template `%1`","Edit Template `%1`"
"Add New Template","Add New Template"
Content,Content
Title,Title
"Meta Description","Meta Description"
Keywords,Keywords
"Canonical Url","Canonical Url"
Robots,Robots
"H1 Tag","H1 Tag"
"This value will override any H1 tag even it is not empty","This value will override any H1 tag even it is not empty"
General,General
"Page Url","Page Url"
"You can use `*` symbol for specify url pattern","You can use `*` symbol for specify url pattern"
Priority,Priority
"Page Content","Page Content"
URL,URL
"Apply Template For Product URLs","Apply Template For Product URLs"
"Available variables:  <br/>Parent Category - {meta_parent_category}<br/>Category Name - {name}<br/>Store View - {store_view}<br/>Store - {store}<br/>Website - {website}","Available variables:  <br/>Parent Category - {meta_parent_category}<br/>Category Name - {name}<br/>Store View - {store_view}<br/>Store - {store}<br/>Website - {website}"
Description,Description
"Image Alt","Image Alt"
"Please, make sure that category image is wrapped into tag with class 'category-image' and image has %s attribute","Please, make sure that category image is wrapped into tag with class 'category-image' and image has %s attribute"
"Text after Product List","Text after Product List"
"
Example: Buy {name} [by {manufacturer|brand}] [of {color} color] [for only {price}] [in {categories}] at [{store},] {website}.    
<br/>                            
<br/>Available variables:  
<br/>Category - {category}
<br/>All Categories - {categories}
<br/>Store View - {store_view}
<br/>Store      - {store}
<br/>Website    - {website}
<br/>Price - {price}
<br/>Special Price - {special_price}
<br/>Final Price - {final_price}
<br/>Final Price with Tax - {final_price_incl_tax}
<br/>Price From (bundle) - {startingfrom_price}
<br/>Price To (bundle) - {startingto_price}
<br/>Brand - {brand}
<br/>Color - {color}
<br/>And other product attributes ...","
Example: Buy {name} [by {manufacturer|brand}] [of {color} color] [for only {price}] [in {categories}] at [{store},] {website}.    
<br/>                            
<br/>Available variables:  
<br/>Category - {category}
<br/>All Categories - {categories}
<br/>Store View - {store_view}
<br/>Store      - {store}
<br/>Website    - {website}
<br/>Price - {price}
<br/>Special Price - {special_price}
<br/>Final Price - {final_price}
<br/>Final Price with Tax - {final_price_incl_tax}
<br/>Price From (bundle) - {startingfrom_price}
<br/>Price To (bundle) - {startingto_price}
<br/>Brand - {brand}
<br/>Color - {color}
<br/>And other product attributes ..."
"Short Description","Short Description"
"Full Description","Full Description"
Default,Default
"Meta Tags Template (Categories)","Meta Tags Template (Categories)"
"You deleted the item.","You deleted the item."
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"We can't find a item to delete.","We can't find a item to delete."
"This item no longer exists.","This item no longer exists."
"Edit `%1`","Edit `%1`"
"Add new","Add new"
"You deleted the location(s).","You deleted the location(s)."
"We can't delete item(s) right now. Please review the log and try again.","We can't delete item(s) right now. Please review the log and try again."
"We can't find a item(s) to delete.","We can't find a item(s) to delete."
"The wrong item is specified.","The wrong item is specified."
"%1 has been successfully saved","%1 has been successfully saved"
"Unable to find a record to save","Unable to find a record to save"
"Template already exists in chosen store","Template already exists in chosen store"
"URL keys has been successfully updated. Please update product URL index.","URL keys has been successfully updated. Please update product URL index."
"Download and Import","Download and Import"
Download,Download
Completed,Completed
"SEO Meta Tags Templates","SEO Meta Tags Templates"
"Max Tittle Length","Max Tittle Length"
"Max Description Length","Max Description Length"
"Product Page","Product Page"
Enabled,Enabled
"Replace Filled Metadata","Replace Filled Metadata"
"No Breadcrumbs","No Breadcrumbs"
"Please set to `Yes` if you have no Breadcrumbs on the Product View page.","Please set to `Yes` if you have no Breadcrumbs on the Product View page."
"Product URL Key Template","Product URL Key Template"
"
You can use variables in this template<br>
Example: {name} - {sku}
","
You can use variables in this template<br>
Example: {name} - {sku}
"
"Category Page","Category Page"
