Tree,Tree
List,List
Root,Root
Search,Search
Products,Products
Categories,Categories
Pages,Pages
"Landing Pages","Landing Pages"
Links,Links
"SEO HTML Sitemap","SEO HTML Sitemap"
General,General
Title,Title
"Meta Description","Meta Description"
Layout,Layout
"Show Search Field","Show Search Field"
"CMS Pages","CMS Pages"
"Sub Header","Sub Header"
"Number of Columns","Number of Columns"
"Include CMS Pages","Include CMS Pages"
"Exclude CMS Pages","Exclude CMS Pages"
"Include Categories","Include Categories"
"Show As","Show As"
"Include Products","Include Products"
"Split By First Letter","Split By First Letter"
"Hide Out Of Stock Products","Hide Out Of Stock Products"
"Show Landing Pages","Show Landing Pages"
"See <a href=""https://amasty.com/landing-pages-for-magento-2.html"" target=""_blank"">Landing Pages</a> module.","See <a href=""https://amasty.com/landing-pages-for-magento-2.html"" target=""_blank"">Landing Pages</a> module."
"Additional Links","Additional Links"
"Example: <br />Link text, link URL <br /> Link text, link URL <br /> ...","Example: <br />Link text, link URL <br /> Link text, link URL <br /> ..."
Sitemap,Sitemap
